@relation categoria
@attribute texto string
@attribute class string
@data
porqué xuxa hay gente (@ssiiaabb) que siempre! nota mí error ortografico dx,None
rt @twittnacho: ya no doy mas!!! con arjona me dieron ganas de sacarle la chucha a mi polola wn jaja broma wn xd #vina2010 #fv10,None
@mich__e y que wea! xd,None
@carloszarate13 m voy a ver rec2buenisima película de miedo,None
@carloszarate13 una confesio,None
rt @seba_ortiz: #fv10 #vina2010 #fannylu al menos fue digna y canto lo que tenia y se bajo sin esperar grandes vitoreos ni premios. un 7 ...,None
con esto cerramos?? #mtuit,None
rt @nperezr: el publico de la quinta se v,None
rt @matiasrivade: y el premio es un cabernet sauvignon reserva del valle de colchagua @andreithai/ =o,None
@deinacarolina tonta po :b teamo :z estare aqi cmo hasta las 5 :b,None
tengo sueño y mañana vendrán a webiar a las 8 am para poner ventanas d:,None
ay pablo nuestra cancio,None
y aparte de este tema... que mas tiene? xd,None
rt @fuentesilva: mish...  fanny lu con todo. la quinta no esta nada de vacía.  http://yfrog.com/1eeucj,None
es mi idea o seesmic se actualiza super lento :s,None
@cocopoblete nos volvimos lokitassss con fanny?,None
"rt @twiterillo: fanny lu tiró altiro las únicas 2 canciones ""conocidas"" (en chile) d: #vina2010 #fv10 #mtuit ",None
rt @m4muffins: urgente: @fanny_lu es felicitada por una lluvia de golpes por parte de #arjonachanta en el backstage de #vina2010 #fv10,None
anahi tiene autoridad moral para evaluar canciones??? supongo que no sera la encargada de la afinacion jajaj,None
rt @reasontolie: me gusta el tiempo en las bastilla,None
rt @nadaqueaportar: polvo y pastilla,None
canta muy mal el vocalista de difuntos correa como para haberlos seleccionado =/,None
para defender @victoria1039fm participa caravana hasta conatel caracas el jueves 4 de marzo.punto dconcentración peaje d la victoria6am,None
y mi prima chica está con ataque... tapones urgentes,None
@valesalazr jajaj eso es lo qe lei por ahi qe decia de @biobio,None
rt @m4muffins: @pabloespinozadu nada de raro que #arjona #arjonachanta exija todos los premios de #vina2010 #fv10 al igual que tito el m ...,None
@cacasparra sempree,None
@nadaqueaportar como con el diente del maestro raphael #mtuit,None
rt @biobio: y la gente ya comienza a pedir antorcha. ¿merecido? // n,None
#vina2010 #fv10 ¿ leo rey esta resfriado,None
@carloszarate13 y a ud. le gusta ricardo arjona?? saludos desde viña.,None
la caga se calleron muros,None
"rt @reporteropop: 98 por ciento de la quinta debe decir ""¿qué cresta es twitter?"" #viña2010 #fv10 #arjonachanta ",None
rt @juanes: un aplauso por el dictamen de la corte constituciona,None
con los vidrios empañados jajajaja #vina2010 #fv10,None
@rauldemolina gordo porque te pusiste seloso de willyam levy?,None
@polibt siempre he pensado lo innecesario que son los bailarines en viña.,None
@masidulmariafan  tiene una pizca de acento mexicano no se si te has dado cuenta a lo mejor xqe ha vivido mucho alla y se le pega el acento.,None
uhhmmm no me gusta mucho esta cancion... #fv10,None
rt @pajaiito: @gabypablo @gabyballesteros quiero decirles que la página web de la espol está entre las 40 (cont) http://tl.gd/c4fih,None
y puta q duele oh u.u (pero sigo con el odio xd),None
patético es creer que una mentira convoque a los duendes del milagr,None
rt @fanjonasyare: jajaja la cara exitada de nick http://twitpic.com/k45h7 omg!! en que estaba pensando!! se exita el pobre,None
@soledadonetto y cuanto se demoraron en montar todo ese aparataje?,None
@halconmatinal felipe minimo 2 gaviotas para arjon,None
@halconmatinal que no se vaya arjonaaaaaa por fa :(!!! un rato mas! que cante pinguinos en la cama :(! (??),None
@inugami_chan  me pregunte lo mismo de  don omar y de tito el mendigo xd saludos,None
rt @withroock: @soledadonetto sole dile que cante mujere,None
#vina2010 #fv10 vamos aclarando el panoramaaa (8),None
por un momento me imaginé una batalla campa,None
@franciscodop frannnn estou super feliz por vcs lindoss!!,None
coo el arjona no juega! tremend concert n vina! cito: u201cel premio no lo pedimo,None
@masochistlion_  por que la otra vez me dejaste hablando sola ¬¬  y me dio rabia y te iba a mandar a la .... tu sabes jajaja,None
@neovladdracul que loco a mi me matan las morena,None
"@soledadonetto falto ""tu reputacion"" .. no quedo totalmente complacida :( ",None
@_nikoll xd me aburria en la tarde y busque el app y ahi esta (r) xd,None
se viene @fannylu ....vamos que se puede,None
@rorrox si ps.. estaré todo el dia en el starbucks esperando a q tal vez no llegues xd,None
rt @vivikreutzberge: @fuentesilva de oro? no hay. doble plata? mmm...// podrían hacer combos...como en el mc donalds.....,None
quede con gusto a poco ... faltaron mas canciones de arjona!,None
nota mental : no me puedo exceder con los traguitos hoy ... mañana hay que estar digna pal casorio ! ( 2 piscolas ya ),None
@maisayshighfive tuya po mensa de la vida cotidiana homosexual de los angeles de estela de peluqeros gays q se creen machos como mecreoyurri,None
ya se vienen planos cerrados solo al escenari,None
ganó: natalia morales muchas felicidades era cyrus niñas termino el juego por hoy mañana seguimos con las demás... http://bit.ly/aqfvqy,None
el terremoto de chile se ha sentido primero en twitter y en la red http://www.20minutos.es/noticia/639530 #terremotochile #chile,None
despertandome y viendo a chile en los temas mas hablados =s....primero haiti luego chile. 78 muertos hasta ahora,None
rt @latercera gobierno decreta zona de catástrofe regiones del maule y del biobío tras terremoto http://twurl.nl/eewzsk,Comunicación
6 horas tuiteando #terremotochile voy por un cigarro... y vuelvo...,None
rt @globovision: el aeropuerto internacional de santiago fue cerrado por algunos daños en sus instalaciones y se ha informado de varios  ...,Comunicación
muchos terremotos últimamente. la tierra se está cansando de nosotros. la entiendo.,None
rt @albertoravell: bachelet al frente de la situacion en chil,None
lean un poco de esto y ya luego me platican. http://bit.ly/wshnh http://bit.ly/cjwxck relacionado con el terremoto de chile de 8.3º,None
aeropuerto internacional arturo merino benitez cerrado #terremotochile,None
rt @sarahilezama: rt @niniotroll rt @hace_rt telefonos de emergencia en chile se piden que se retuiteen 568 1290/ 568 1295,None
rt @fggutierrez: rt @tentandote: por favor retwiteen los teléfonos de emergencia en chile 568 1290 / 568 1295 - argentina -@rocsidiaz,Comunicación
rt @muchbetteer: me acorde de la peli 3d de lso joans que joe hace  terremotoo  con la mes,None
rt @peeweemusic: mis oraciones para chile y hawaii,None
rt @ayudachile: @juanes @shakira @ricky_martin ayúdennos a difundir esta cuenta para encontrar a familiares,None
rt @twitter_es: la cuenta @ayudachile fue creada para contactar familiares y amigos en chil,None
terremoto de chile se siente en la argentina y su capital http://bit.ly/aiblaz,None
rt @eluniversal: los terremotos más devastadores en américa latina http://bit.ly/bonish #terremotochile,None
alguien de cabrero que me pueda decir como está la cosa por allá? tengo parientes por ahí que no puedo contactar #chile,Comunicación
@paulalanas estamos todos bie,Personas
como puede haber gente surfeando en #hawaii!!!!!! sera entrete verlos en las olas jajajaja,None
rt @curvaspoliticas: ayuda de info de cañete http://bit.ly/b30ml5 // @anibalgr,Comunicación
@babyrodriguez te acuerdas de nico? el esta al sur de la ciudad donde fue el terremoto mas grande y no los encuentran.. estoy triste,Personas
rt @shanikberman: vean cnn @anahi dio ahí 1 entrevitsa y dice q ella esta bie,None
@506networks yo espero q cuando inicien los toros digan algo del terremoto de chil,None
rt @rockonjonas: tienen que reza,None
rt @perucom: dos peruanas pierden la vida en terremoto de chil,Personas
rt @tvn24h: 5 muertos y 11 desaparecidos en juan fernández por ola gigante. archipiélago tiene poco más de 500 habitantes. #terremotochi ...,Comunicación
@minervaoatenea pues done lo poco que me quedaba en paypal con lod de hait,None
@ecc185 parece que fue esta madrugada http://noticias.radiopaz.pe/2010/02/japon-tambien-sufrio-un-terremoto-1.html,None
tsunami:  en hilo reportan subida en nivel del mar de 1 a 1.5 metros de acuerdo a tvlocal khon-fox,None
rt @cubadebate: a 214 evela la cifra de fallecidos por #terremoto en #chile,None
rt @pein_sama25: rt @yosoyallendista: retuiteen los teléfonos de emergencia en chile 568 1290 / 568 1295 #terremotochile (via @cristocal18),Comunicación
centro de comandos en mi casa,None
pero que ignorantes! rt @nelsonbocaranda: segun diario gramma los terremotos son producidos por un arma nueva del imperio!!! confirmado...,None
rt @flor_jb: yo me tranquilizo mirando qe la gente esta tranquila,None
@reportwiteros y en conce como esta la situacion ?,Comunicación
consulado de chile en valencia: 0241-8575263 | consulado de chile en pto ordaz: 0286-9614556 | consulado de chile en mcbo: 0261-7430460,Comunicación
pendiente de una amiga en chile que no hemos podido contactar despues del terremoto.,Personas
terremoto en chile desde antofagasta hasta santiago !!!!!,None
no tengo luz no he podido ver nada de las noticias solo lo q me han dicho ustds porfa diganme si en santiago estan bien no me caen las llam,Comunicación
absurdo ayer me quejaba del acento chilen,None
pero arjona se merece mi respeto con la camisa q uso rt @lafreetanga: pobres chilenos. primero canto arjona en viña y ahora el terremoto...,None
rt @eluniversal: gobierno de chile confirma 78 muertos http://bit.ly/ayb2qh #terremotochile,None
he dormido sólo 2 horas por ver lo de chil,None
@aletastets oye tu te podrias comunicar con alguien en chile es un numero celular?,Comunicación
@danielomx stan transmitiendo lo del tsunami...,None
esta es la pag para buscar a las personas que estan en chile http://www.google.com/intl/es/relief/chileearthquake/,Personas
el epicentro fue en la región del bío bí,Comunicación
rt @earcos: piden a @movistarchile que libere los wi-fi comerciales para poder mejorar comunicaciones /via @micronauta (rt porfa),None
porque ver los canales nacionales de noticias repitiendo lo mism,None
terremoto de chile 900 veces mas fuerte que haití se liberó 500 veces mas energía,None
rt @dianitajonas: chile dios los acompaña siempre!!! #colombianeedsjonas,None
rt @dmoficial: chicos los invito a donar a dulceamanecer.com.mx para ayudar a nuestros hermanos de chile y donde nos necesiten gracias,None
@aledelareguera christian se conecto :) que bueeeno. gracias por todas sus mensajes s2,Personas
esperando poder contactarnos con nuestra familia del sur,Personas
rt @thelittleidiot: una lastima en chile. no puedo escribir mucho en espano,None
rt @6topoder: sí tienes familia en chile a través de http://evaphone.com/ pueden realizar 2 llamadas voip gratis a chile,Comunicación
@fafa_morales que bueno que estes bien ! tienes noticias de conce??,Comunicación
por favor rt @ayudachile busco a mario rivas klapp y familia en santiago y juan schulmeyer iriarte en concepcio,Personas
rt @memeponce: ayuden a chile retwiteen los telefonos de emergencia! 568 1290 / 568 1295 !!!!!!!!,Comunicación
el #tsunami tras el terremoto chileno debe ser la unica vez que el pueblo boliviano se siente agredecido por no tener mar,None
muestras de solidaridad para nuestros hermanos chilenos tras reciente desgracia acaecida. que dios les proteja.,None
@betzcasablancas gracias por el dato.... :),None
@_elwis_ hueon en el mall hay unas grietas bien cuatica compadre,Seguridad
recien me di cuenta que estaba solo en casa ¬¬ la ignorancia hace la felicidad dicen los sabios. menos mal que ya no estoy solo :(,None
rt @eldictamen: obama: estamos listos para ayudar a chile http://bit.ly/9bujdg,None
chileno´s dios los bendigas,None
rt @the_jsm: que descansen en paz los 214 muertos del terremoto en chile u.u,None
@babyd_y babyyy como estay?? yo bien aca en buin!!,Personas
justo en thc estaban pasando el programa sobre el despertar del anillo de fuego,None
tsunami en maui midió como 1m.  lo que hace una diferencia de 2m entre el nivel mas alto y el mas bajo de cada ola. han habido como 5 olas,None
@patolamas perfect!!! si él me contó que tu papá lo llamó y ahí caché que estaban o,None
rt @esopues: @cristianarcos desde zaragoz,None
@tanamatute gracias que linda por mandar bendiciones a nuestros compatriotas!! que terrible todo lo que esta pasando aqui en chile!!,None
@cris_juanes @guadalupita_js hola corazones!! yo estoy bie,None
alguien de la florida en santiago que pueda comentar? (#moteconhuesillo live at http://ustre.am/cug7),Comunicación
@moonzyspider nosé igual me siento ma,None
al aire víctor sardiña de centro de alertas de tsunamis del pacífico que esta en hawai. en radio 13...,None
rt @natitum: en @adnradio habilitamos un fono para dejar mensajes de info de personas: (2) 7262208,None
rt @adnradio: hemos habilitado el fono (2) 7262208 para que grabes tu mensaje: si necesitas ubicar a alguien o tienes informacion... htt ...,Comunicación
rt:  se busca a tamara alarcón puschmann. desaparecida en concepcion,None
sacaron del aire la concentración del oficialismo por cacerolazo contra esteban,None
@leon_krauze creo que no sería un milagro. es el resultado de una buena reglamentación en las construcciones de chile.,None
ya tamo por ahi manin el sencillo es la i el tema q representa el movimiento de santiago aunq to eto mmñ no reconozcan lo q ta al frente sa.,None
es posible que en 5 minutos en hawaii halla un tsunami?,Comunicación
rt @rhollmann: #terremotochile 13 horas después del terremot,None
@eckhartvoncroy me enteré lo del terremoto! como estas tu y tu flia? y las demas chicas del echelon? si saben algo avisen. bendiciones!,Personas
@kanchola he estado llamando pero tiene el celular apagado. intentare nuevamente mas tarde. quien intenta ubicarl,Personas
rt @elgossiper: sigamos rezando para que el tsunami no llegue fuerte a hawai.,None
rt @noroestemx: descartan que sismo en chile afecte a mazatlán: www.noroeste.com.mx/publicaciones.php?id=560820 via @addthis,None
#nowplaying soda stereo - cuando pase el temblor,None
#quebolas lo de chile :(,None
rt @jupy_: rt si quisieras volver 100 aÑos atras y arreglar todo : (,None
en 15 minutos llega hola a hawai luego del terremoto en chile,None
rt @agpm1992: con todo esto...llegamos al 2012 ???,None
una pregunta: en chile hubo un megaterremoto hace tiempo?,None
rt @carolinamillan: rt @rmartinezv: un mapa de chile con los dif grados. http://bit.ly/ae0ump,None
rt @el_pais: un fuerte terremoto de 8.8 de magnitud causa al menos 64 muertos en chile: un terremoto de 8.8 grados en la escala... http: ...,None
rt @alfredoromero: chile: casas antiguas colapsaron la gran mayoría. obras nuevas tambien han sufrido grandes daños. calles levantadas,Seguridad
rt @ceeecii: primero lo de hait,None
@andyb1121--- @francodvita @luisfonsi @kendrawilkinson @kendrawilkinson  @thalia  @nellyfurtado  @paurubio @calle13oficial  @juanes @,None
rt @gabysdanger: si en paraguay ocurre algo asi como en chile este pais se elimina del mapa jajaaj,None
@javieragalvez si llega a pasar algo ojalas no te quiero mucho javi (: ahy q tener calma amiga.,None
rt @irkaflor: si alguien conoce a jorge sepulveda de puente alto cerca santiago comuniquence via twitter conmigo por favor,Personas
rt @sarahilezama: rt @jorcervan http://bit.ly/9uxz8l mexicanos en chile publiquen aqui que están bien por el terremoto via @angiedelavega,None
rt @mendezpaul: rt @eluniversal: eeuu está listo para ayudar a chile después de sismo - http://bit.ly/agp06o #terremotochile,None
@cobayasky @fsosa @monzith @juanesg @adapar @doktorztrodel estamos bien! y nuestra familia también pero sin luz (cont) http://tl.gd/cbfmu,None
cual es el saldo de muertos en chile?,None
rt @auraneurotica si alguien necesita viajar a argentina de urgencia hay vuelos de lan. todo vuelo a santiago esta suspendido,None
en menos de dos horas se espera que llegué el tsunami a hawaii,None
hace tanto sueño pero no me kiero perder nada (cara de copucha) #terremotochile,None
no me había dado cuenta de lo terrible que fue lo de haitu00e,None
"@fco_ossandon y eso que es una construccion ""nueva"" ",None
